SerialNo,Session_Summary,Cleaned_Summary,Lecture_Label,tsne-2d-one,tsne-2d-two,umap-2d-one,umap-2d-two,Lecture_Name
1,"we started our lecture with a recap of previous lecture particularly about the difference between statistically similar values and statistically significant values. we then started a new topic called as multiple linear regression. as the name suggests, it is a linear regression but dependent upon multiple features. we looked how things like sales depend on multiple factors like age, earning, family size etc. the things on which our y is dependent are known as features. our goal is to represent y as a linear combination of x1, x2, x3, ..., xn. suppose y = b0 + b1x1 + b2x2 + ...... our objective is to find the values of b0, b1, b2 which we do by a method called as gradient descent which is a numerical method very similar to newton raphson method, but used for n dimensions. prof then showed an illustration on excel where the y was dependent on 5 features. we performed mlr and had a look at the p-values of the calculated coefficients. every coefficient had a p-value greater than 0.05 except the intercept which shows that the probability of them being correct is very low. we then started dropping the features one by one which had the highest p-value. there also is a metric known as f value where f = msr/mse. higher f corresponds to better model. as we dropped the features, f value started to increase.","we started our lecture with a recap of previous lecture particularly about the difference between statistically similar values and statistically significant values. we then started a new topic called as multiple linear regression. as the name suggests, it is a linear regression but dependent upon multiple features. we looked how things like sales depend on multiple factors like age, earning, family size etc. the things on which our y is dependent are known as features. our goal is to represent y as a linear combination of x1, x2, x3, ..., xn. suppose y = b0 + b1x1 + b2x2 + ...... our objective is to find the values of b0, b1, b2 which we do by a method called as gradient descent which is a numerical method very similar to newton raphson method, but used for n dimensions. prof then showed an illustration on excel where the y was dependent on 5 features. we performed mlr and had a look at the p-values of the calculated coefficients. every coefficient had a p-value greater than 0.05 except the intercept which shows that the probability of them being correct is very low. we then started dropping the features one by one which had the highest p-value. there also is a metric known as f value where f = msr/mse. higher f corresponds to better model. as we dropped the features, f value started to increase.",2,16.94262,8.096779,12.411322,4.212075,"regression, regressions, features"
2,"in this session, we explored various feature encoding techniques, essential for converting categorical and textual data into numerical representations suitable for machine learning models. initially, we discussed vectorization and one-hot encoding. vectorization is a general approach to transform textual or categorical data into numerical vectors. one-hot encoding specifically converts categorical variables into binary vectors, creating separate columns for each category. this method is widely used in multiclass and multilabel classification problems but can introduce the curse of dimensionality when dealing with variables having many unique categories.

we then examined label encoding and integer encoding. label encoding assigns each categorical class a unique integer value. while this method is straightforward, it implies an ordinal relationship between categories, which may not always be appropriate. integer encoding is particularly useful when the categorical variable represents ordinal data (categories with a meaningful order), as it preserves the inherent ordering.

due to the limitations of one-hot encoding, such as increased dimensionality, we introduced binary encoding (compact encoding). binary encoding efficiently represents multiple categories using fewer columnsâ€”for example, just three columns can encode up to eight distinct classes. this approach helps mitigate dimensionality issues while retaining meaningful category distinctions.

additionally, we covered frequency encoding and target encoding. frequency encoding involves assigning each category a numerical value based on its frequency within the dataset. target encoding replaces categories with values derived from the target variable (such as the mean target value for each category), effectively capturing relationships between categories and the outcome variable.

finally, we briefly touched upon methods for converting textual data into numerical vectors through vectorization techniques, setting the stage for deeper exploration in future sessions.","in this session, we explored various feature encoding techniques, essential for converting categorical and textual data into numerical representations suitable for machine learning models. initially, we discussed vectorization and one-hot encoding. vectorization is a general approach to transform textual or categorical data into numerical vectors. one-hot encoding specifically converts categorical variables into binary vectors, creating separate columns for each category. this method is widely used in multiclass and multilabel classification problems but can introduce the curse of dimensionality when dealing with variables having many unique categories. we then examined label encoding and integer encoding. label encoding assigns each categorical class a unique integer value. while this method is straightforward, it implies an ordinal relationship between categories, which may not always be appropriate. integer encoding is particularly useful when the categorical variable represents ordinal data (categories with a meaningful order), as it preserves the inherent ordering. due to the limitations of one-hot encoding, such as increased dimensionality, we introduced binary encoding (compact encoding). binary encoding efficiently represents multiple categories using fewer columns for example, just three columns can encode up to eight distinct classes. this approach helps mitigate dimensionality issues while retaining meaningful category distinctions. additionally, we covered frequency encoding and target encoding. frequency encoding involves assigning each category a numerical value based on its frequency within the dataset. target encoding replaces categories with values derived from the target variable (such as the mean target value for each category), effectively capturing relationships between categories and the outcome variable. finally, we briefly touched upon methods for converting textual data into numerical vectors through vectorization techniques, setting the stage for deeper exploration in future sessions.",3,-42.69363,3.4189084,0.02768619,6.3129735,"categorical, categorization, categorise"
3,"population and sample were further discussed upon. sample is a good and representative part of the population. sample is used to predict/estimate the population. attributes and operations such as count, mode , median, mean, std. deviation , variance , add, multiply, divide and subtract. different level of measurement were classified on the basis of these attributes and operations. population has parameter(s) while sample has statistic. we estimate parameters on the basis of these statistic. linear data model was discussed upon from the sales vs advt. expenditure . any model can be fitted upon any set of data but it might not be the best fit. even a point can be considered a model although a naive model. as sample size increases the estimation of parameters gets better and better. based on th sample a slr can be fit with the equation y=î²o+î²1 , where î²o is the bias in the data , as the sample size gets closer and closer to the population this bias reduces. bias represents the sum of the effect of all the unknown(unaccounted for) variables. î²o and î²1 are estimates of the population parameters. we can determine confidence intervals around the estimated parameters , the size of the confidence interval depends upon the level of confidence. as the level of confidence increases the confidence interval gets wider and wider. to find the best fit line we equate the sum of squares of errors of data points from the line to 0. we use ei^2 because it does not depend upon the direction gives the euclidean distance rather than the manhattan distance we get in the case of |ei| . upon partial differentiation of the sum of squares of error we get the values of a and b of the equation y=ax + b.
b= mean(y) - a*mean(x) 
a=(mean(xy) - mean(x) * mean(y) )/(mean(xâ²) - (mean(x))â² )
î²o and î²1are point estimates and we need to arrive at the possible interval within which their value lies such that there is a very high chance that î²op and î²1p (i.e the population parameters) will lie within those intervals respectively.","population and sample were further discussed upon. sample is a good and representative part of the population. sample is used to predict/estimate the population. attributes and operations such as count, mode , median, mean, std. deviation , variance , add, multiply, divide and subtract. different level of measurement were classified on the basis of these attributes and operations. population has parameter(s) while sample has statistic. we estimate parameters on the basis of these statistic. linear data model was discussed upon from the sales vs advt. expenditure . any model can be fitted upon any set of data but it might not be the best fit. even a point can be considered a model although a naive model. as sample size increases the estimation of parameters gets better and better. based on th sample a slr can be fit with the equation y= o+ 1 , where o is the bias in the data , as the sample size gets closer and closer to the population this bias reduces. bias represents the sum of the effect of all the unknown(unaccounted for) variables. o and 1 are estimates of the population parameters. we can determine confidence intervals around the estimated parameters , the size of the confidence interval depends upon the level of confidence. as the level of confidence increases the confidence interval gets wider and wider. to find the best fit line we equate the sum of squares of errors of data points from the line to 0. we use ei^2 because it does not depend upon the direction gives the euclidean distance rather than the manhattan distance we get in the case of |ei| . upon partial differentiation of the sum of squares of error we get the values of a and b of the equation y=ax + b. b= mean(y) - a*mean(x) a=(mean(xy) - mean(x) * mean(y) )/(mean(x ) - (mean(x)) ) o and 1are point estimates and we need to arrive at the possible interval within which their value lies such that there is a very high chance that op and 1p (i.e the population parameters) will lie within those intervals respectively.",1,34.161472,-6.936126,16.333784,3.7468805,"population, models, estimating"
4,"we first looked at all the summaries and observed from the graph that number of people who are submitting the summaries are decreasing with the session and the average number of words in the summaries are increasing.
then we took an example where the function looked similar to sine curve and with one feature x1, we engineered other features as x1â²,x1â³,x1â´.this is called polynomial regression.from this we obtained a p-value.then we added another feature which was sin(x1). the p value obtained in second case was found less than that of first case which suggested that the sine feature that was added is significant for this model.however, adding large number of features such that they do not give a better estimation beyond a certain point is not preferred and will decrease the adjusted râ² values.also,if a single model can represent the data good enough then it should always be chosen over having multiple models.
then we discussed about parametric method like neural network. in this there is an input layer which takes in the features and then another layer which performs computations. if computations are performed in multiple layers it is referred to as deep learning. input layer is connected to computational layers through links which represent the degrees of freedom. increasing the degrees of freedom can lead to overfitting.","we first looked at all the summaries and observed from the graph that number of people who are submitting the summaries are decreasing with the session and the average number of words in the summaries are increasing. then we took an example where the function looked similar to sine curve and with one feature x1, we engineered other features as x1 ,x1 ,x1 .this is called polynomial regression.from this we obtained a p-value.then we added another feature which was sin(x1). the p value obtained in second case was found less than that of first case which suggested that the sine feature that was added is significant for this model.however, adding large number of features such that they do not give a better estimation beyond a certain point is not preferred and will decrease the adjusted r values.also,if a single model can represent the data good enough then it should always be chosen over having multiple models. then we discussed about parametric method like neural network. in this there is an input layer which takes in the features and then another layer which performs computations. if computations are performed in multiple layers it is referred to as deep learning. input layer is connected to computational layers through links which represent the degrees of freedom. increasing the degrees of freedom can lead to overfitting.",0,-2.966825,1.9048488,8.898137,3.9197586,"models, feature, features"
5,midsem metrics for evaluation and also discussion of exercise and feedback on it,midsem metrics for evaluation and also discussion of exercise and feedback on it,6,11.54947,19.017876,9.533401,5.403641,"summarizing, summarize, summarization"
6,"the lecture explained how we use samples to understand populations. a sample is a small group taken from a population that should represent it well. this lets us study the sample to estimate the population's parameters. these estimates, calculated from the sample, are called statistics.
we then discussed regression. a good model takes the data from the sample to find a slope and an intercept of a regression line. these are our best estimates of the true values for the population. however, point estimates aren't very accurate. they're good, but they're not great. so to make our estimation more reliable, we form an interval estimate that allows us to say something like, ""we are 95% confident that the true value lies in this range.""
points estimates are different for different samples and better if sample becomes larger.
we then considered how to determine the best-fit line. among the methods available, such as minimizing the sum of errors or mod of errors , these were not the best approaches. instead, we opted to minimize the sum of squared errors, which yields better results because it reduces the effect of larger errors by magnifying them.
finally, we found a direct formula to compute the slope and intercept. it is known as closed form since we do not require iteration.","the lecture explained how we use samples to understand populations. a sample is a small group taken from a population that should represent it well. this lets us study the sample to estimate the population's parameters. these estimates, calculated from the sample, are called statistics. we then discussed regression. a good model takes the data from the sample to find a slope and an intercept of a regression line. these are our best estimates of the true values for the population. however, point estimates aren't very accurate. they're good, but they're not great. so to make our estimation more reliable, we form an interval estimate that allows us to say something like, ""we are 95% confident that the true value lies in this range."" points estimates are different for different samples and better if sample becomes larger. we then considered how to determine the best-fit line. among the methods available, such as minimizing the sum of errors or mod of errors , these were not the best approaches. instead, we opted to minimize the sum of squared errors, which yields better results because it reduces the effect of larger errors by magnifying them. finally, we found a direct formula to compute the slope and intercept. it is known as closed form since we do not require iteration.",1,32.742912,-8.989129,16.5552,4.1989493,"population, models, estimating"
7,"in class, we started by talking about how to measure key population parameters like the mean and variance.
sir used an example to explain the central limit theorem, where we tried to estimate the extra work hours of managers in a company. we worked with a small sample of 18 observations, assuming it represented the whole population, and then we plotted the probability density function (pdf) for the sample mean.
after that, we learned about confidence intervals, and how we use the t-distribution when our sample size is less than 3, sir also explained why confidence intervals are so useful in real lifeâ€”they help us make better decisions based on data. 
we touched on other important statistical terms, like t-values and z-values, and how to calculate them. we also discussed what it means when results are â€œstatistically different,â€ or when we can confidently say that two things are significantly different based on statistical tests.

the class wrapped up with a quick introduction to p-values and multiple linear regression.","in class, we started by talking about how to measure key population parameters like the mean and variance. sir used an example to explain the central limit theorem, where we tried to estimate the extra work hours of managers in a company. we worked with a small sample of 18 observations, assuming it represented the whole population, and then we plotted the probability density function (pdf) for the sample mean. after that, we learned about confidence intervals, and how we use the t-distribution when our sample size is less than 3, sir also explained why confidence intervals are so useful in real life they help us make better decisions based on data. we touched on other important statistical terms, like t-values and z-values, and how to calculate them. we also discussed what it means when results are statistically different, or when we can confidently say that two things are significantly different based on statistical tests. the class wrapped up with a quick introduction to p-values and multiple linear regression.",7,32.089077,7.9035406,14.602179,2.4632158,"statistics, statistical, statisticsâ"
8,"explained logistic regression, which is used for binary classification. we discussed clustering, a method for grouping similar data points. true positive and true negative concepts were highlighted for model evaluation. outlier detection techniques were introduced to identify rare occurrences in data. the lecture also covered loss functions, which guide model training. finally, we explored different approaches to solving logistic regression effectively.","explained logistic regression, which is used for binary classification. we discussed clustering, a method for grouping similar data points. true positive and true negative concepts were highlighted for model evaluation. outlier detection techniques were introduced to identify rare occurrences in data. the lecture also covered loss functions, which guide model training. finally, we explored different approaches to solving logistic regression effectively.",13,-6.373016,-8.659547,8.513382,5.209682,"classification, classifying, classifications"
9,"we looked at the course summary we initially talked about ways of improving the quality of our results, either by improving the sample, the method, or fine tuning/properly using the method.
we studies the errors in the residual scatter plots, and since the errors were distributed very systematically, we looked at how introduction of new variables (with polynomial relations with known variables) make the model better.
we looked at why one model is not fitting a data well, and then looked at multiple models, the results or different statistical quantities which we were getting and then tried to derive the meaning of them.
we looked at neural networks and deep klearning methods.
we discussed logistic regression, sigmoid function at the end","we looked at the course summary we initially talked about ways of improving the quality of our results, either by improving the sample, the method, or fine tuning/properly using the method. we studies the errors in the residual scatter plots, and since the errors were distributed very systematically, we looked at how introduction of new variables (with polynomial relations with known variables) make the model better. we looked at why one model is not fitting a data well, and then looked at multiple models, the results or different statistical quantities which we were getting and then tried to derive the meaning of them. we looked at neural networks and deep klearning methods. we discussed logistic regression, sigmoid function at the end",13,-2.3002892,-2.9795945,9.191719,4.788039,"classification, classifying, classifications"
10,"the lecture began with a recap of confidence intervals. using an example, we analyzed points a and b within the confidence interval range to determine whether they were truly distinct or if their values appeared by chance. another point, d, which was outside the confidence interval, was identified as statistically significant. since the probability of obtaining d from the sample was very low, we concluded that it was statistically different from a and b.  

next, we introduced embedding vectors as a way to process data. we converted data into vectors that included various features, allowing for feature engineering.  

following this, we discussed multiple linear regression (mlr). the objective of mlr is to express a dependent variable (y) as a linear combination of independent features (xâ‚, xâ‚‚, xâ‚ƒ, ...). like simple linear regression, mlr aims to minimize the sum of squared errors to determine the best-fit coefficients for the features in the model.  

the lecture then covered the matrices used in the derivation of mlr and the cost function which helps quantify the error. the gradient descent process was then introduced to optimize the model parameters.  

we also discussed the f-value, calculated as the mean square regression (msr) divided by the mean square error (mse). a higher f-value indicates a better model fit.  

next, we explored the role of the p-value in multiple linear regression. if a feature's p-value is greater than 0.05, it suggests that zero falls within the confidence interval, meaning that the feature is not statistically significant. based on this, we learned that features with high p-values can be dropped from the model, as their presence does not significantly impact the predictions. features with the highest p-values are the least significant and should be removed to improve the model's efficiency.","the lecture began with a recap of confidence intervals. using an example, we analyzed points a and b within the confidence interval range to determine whether they were truly distinct or if their values appeared by chance. another point, d, which was outside the confidence interval, was identified as statistically significant. since the probability of obtaining d from the sample was very low, we concluded that it was statistically different from a and b. next, we introduced embedding vectors as a way to process data. we converted data into vectors that included various features, allowing for feature engineering. following this, we discussed multiple linear regression (mlr). the objective of mlr is to express a dependent variable (y) as a linear combination of independent features (x , x , x , ...). like simple linear regression, mlr aims to minimize the sum of squared errors to determine the best-fit coefficients for the features in the model. the lecture then covered the matrices used in the derivation of mlr and the cost function which helps quantify the error. the gradient descent process was then introduced to optimize the model parameters. we also discussed the f-value, calculated as the mean square regression (msr) divided by the mean square error (mse). a higher f-value indicates a better model fit. next, we explored the role of the p-value in multiple linear regression. if a feature's p-value is greater than 0.05, it suggests that zero falls within the confidence interval, meaning that the feature is not statistically significant. based on this, we learned that features with high p-values can be dropped from the model, as their presence does not significantly impact the predictions. features with the highest p-values are the least significant and should be removed to improve the model's efficiency.",2,18.048662,6.353295,12.796107,4.253656,"regression, regressions, features"
